track_id,artists,album_name,track_name,valence
0o7ArBihcyH8nv4Bhfb2uM,kobasolo;kopi,Clumsy,Haru ni yuraredo kimi omou,0.694
3ixFouonAtRdwg4FiVN9z9,jon-YAKITORY;Ado,AntiSystem's,AntiSystem's,0.593
4v1EzxLxaKMBC3vwkegyIx,Kainbeats;softy,Finding Beauty,Cloudy Springs,0.193
5SHguvOUbyPTINNjCvRo8K,Mrs. GREEN APPLE,"Love me, Love you",春愁,0.739
4lHhlaay5sKaj3rcAHuwxb,sweet ARMS,選んでデート・ア・ライブ 〜DATE A LIVE BEST SELECTION〜,デート・ア・ライブ,0.486
05XoZNL3OMdegGO0SnrHWD,Sakurakou K-ON Bu,"Fuwa Fuwa Time (From ""K-On!"")",Fuwa Fuwa Time,0.42
13OOHdblP3IpX24DmidYeQ,LoFoxy;Sakura,Lofi Anime Beats,"Uso (From ""Fullmetal Alchemist: Brotherhood"")",0.159
76cUb9qc2hTwV5MV5xpvnK,Satoshi Takebe,From Up On Poppy Hill Soundtrack,Reminiscence,0.204
39TMgQ5mAFp40OJQP1x6vg,Samuel Kim,Dreamworks Epic Collection,Kai's Theme & Agni Kai,0.328
21YiaS85ngOoYT773cMFlW,Yugo Kanno,JOJO'S BIZARRE ADVENTURE -Diamond is unbreakable O.S.T Vol.2 -Good Night Morioh Cho- Music by Yugo Kanno,Killer,0.0575
6ZClqpO7xwaNmidrmyLV5S,Rustage;McGwire,Eyes On Me (Eren Jaeger Rap),Eyes On Me (Eren Jaeger Rap),0.297
7AInQo43ViMmcpWRfKcqsH,Kato,Anime & Chill 2,Pokémon Theme,0.48
1ovr8NrhUZWz64ZM1bfbzG,Otaku,Anime Lofi Vol. 2,Sign (Naruto Shippuden),0.454
6jqvbCajA0NIkVADIFnNrT,Daddyphatsnaps,Cyber Psycho (Cyberpunk Edgerunners),Cyber Psycho (Cyberpunk Edgerunners),0.514
